CD_GEOCMU,API,SAPI
4101804,Área de SC e PR,Subárea de Curitiba
4114807,Área de SC e PR,Subárea de Cascavel
4126678,Área de SC e PR,Subárea de Cascavel
4111902,Área de SC e PR,Subárea de Cascavel
4118808,Área de SC e PR,Subárea de Cascavel
4107504,Área de SC e PR,Subárea de Cascavel
4212304,Área de SC e PR,Subárea de Florianópolis
4301750,Área Leste do RS,Subárea de Pelotas
4122404,Área de SC e PR,Subárea de Cascavel
4320503,Área Oeste do RS,Subárea de Cruz Alta
4121208,Área de SC e PR,Subárea de Ponta Grossa
4314464,Área Leste do RS,Subárea de Pelotas
4103958,Área de SC e PR,Subárea de Cascavel
4208708,Área de SC e PR,Subárea de Florianópolis
4301107,Área Leste do RS,Subárea de Pelotas
4104709,Área de SC e PR,Subárea de Ponta Grossa
4100707,Área de SC e PR,Subárea de Cascavel
4312252,Área Leste do RS,Subárea de Pelotas
4312401,Área Leste do RS,Subárea de Pelotas
4218301,Área de SC e PR,Subárea de Ponta Grossa
4307005,Área Oeste do RS,Subárea de Cruz Alta
4102406,Área de SC e PR,Subárea de Ponta Grossa
4210704,Área de SC e PR,Subárea de Ponta Grossa
4207502,Área de SC e PR,Subárea de Florianópolis
4126405,Área de SC e PR,Subárea de Ponta Grossa
4106902,Área de SC e PR,Subárea de Curitiba
4123303,Área de SC e PR,Subárea de Cascavel
4101903,Área de SC e PR,Subárea de Ponta Grossa
4305975,Área Oeste do RS,Subárea de Cruz Alta
4104055,Área de SC e PR,Subárea de Cascavel
4307831,Área Oeste do RS,Subárea de Santiago
4321808,Área Oeste do RS,Subárea de Santiago
4304671,Área Leste do RS,Subárea de Pelotas
4121604,Área de SC e PR,Subárea de Cascavel
4115101,Área de SC e PR,Subárea de Cascavel
4102109,Área de SC e PR,Subárea de Cascavel
4111506,Área de SC e PR,Subárea de Cascavel
4316105,Área Oeste do RS,Subárea de Cruz Alta
4126900,Área de SC e PR,Subárea de Cascavel
4314308,Área Oeste do RS,Subárea de Cruz Alta
4204178,Área de SC e PR,Subárea de Florianópolis
4118600,Área de SC e PR,Subárea de Ponta Grossa
4104501,Área de SC e PR,Subárea de Cascavel
4123907,Área de SC e PR,Subárea de Ponta Grossa
4107207,Área de SC e PR,Subárea de Cascavel
4100806,Área de SC e PR,Subárea de Cascavel
4107256,Área de SC e PR,Subárea de Cascavel
4209151,Área de SC e PR,Subárea de Florianópolis
4211504,Área de SC e PR,Subárea de Florianópolis
4107736,Área de SC e PR,Subárea de Ponta Grossa
4112504,Área de SC e PR,Subárea de Cascavel
4120507,Área de SC e PR,Subárea de Cascavel
4204509,Área de SC e PR,Subárea de Florianópolis
4305405,Área Oeste do RS,Subárea de Santiago
4213351,Área de SC e PR,Subárea de Florianópolis
4111555,Área de SC e PR,Subárea de Cascavel
4211900,Área de SC e PR,Subárea de Florianópolis
4118857,Área de SC e PR,Subárea de Cascavel
4100608,Área de SC e PR,Subárea de Cascavel
4311254,Área Oeste do RS,Subárea de Santa Maria
4125357,Área de SC e PR,Subárea de Cascavel
4105607,Área de SC e PR,Subárea de Cascavel
4125407,Área de SC e PR,Subárea de Ponta Grossa
4105904,Área de SC e PR,Subárea de Cascavel
4116901,Área de SC e PR,Subárea de Cascavel
4217907,Área de SC e PR,Subárea de Florianópolis
4202206,Área de SC e PR,Subárea de Florianópolis
4309308,Área Leste do RS,Subárea de Pelotas
4115739,Área de SC e PR,Subárea de Cascavel
4128500,Área de SC e PR,Subárea de Ponta Grossa
4205902,Área de SC e PR,Subárea de Florianópolis
4219309,Área de SC e PR,Subárea de Florianópolis
4115408,Área de SC e PR,Subárea de Cascavel
4124806,Área de SC e PR,Subárea de Cascavel
4201307,Área de SC e PR,Subárea de Florianópolis
4100459,Área de SC e PR,Subárea de Cascavel
4219507,Área de SC e PR,Subárea de Florianópolis
4205001,Área de SC e PR,Subárea de Florianópolis
4125209,Área de SC e PR,Subárea de Cascavel
4114302,Área de SC e PR,Subárea de Curitiba
4114906,Área de SC e PR,Subárea de Cascavel
4122172,Área de SC e PR,Subárea de Cascavel
4205159,Área de SC e PR,Subárea de Florianópolis
4100905,Área de SC e PR,Subárea de Cascavel
4210605,Área de SC e PR,Subárea de Florianópolis
4101507,Área de SC e PR,Subárea de Cascavel
4219358,Área de SC e PR,Subárea de Florianópolis
4317905,Área Oeste do RS,Subárea de Santiago
4202305,Área de SC e PR,Subárea de Florianópolis
4307906,Área Leste do RS,Subárea de Pelotas
4118709,Área de SC e PR,Subárea de Ponta Grossa
4312658,Área Oeste do RS,Subárea de Cruz Alta
4216107,Área de SC e PR,Subárea de Florianópolis
4307302,Área Oeste do RS,Subárea de Cruz Alta
4306007,Área Oeste do RS,Subárea de Santiago
4121901,Área de SC e PR,Subárea de Ponta Grossa
4122651,Área de SC e PR,Subárea de Cascavel
4306320,Área Oeste do RS,Subárea de Santiago
4310405,Área Oeste do RS,Subárea de Santiago
4213708,Área de SC e PR,Subárea de Florianópolis
4105102,Área de SC e PR,Subárea de Cascavel
4321303,Área Oeste do RS,Subárea de Santa Maria
4120150,Área de SC e PR,Subárea de Cascavel
4113452,Área de SC e PR,Subárea de Cascavel
4320107,Área Oeste do RS,Subárea de Cruz Alta
4216909,Área de SC e PR,Subárea de Florianópolis
4107124,Área de SC e PR,Subárea de Cascavel
4103602,Área de SC e PR,Subárea de Ponta Grossa
4218954,Área de SC e PR,Subárea de Florianópolis
4300802,Área Leste do RS,Subárea de Pelotas
4301503,Área Oeste do RS,Subárea de Cruz Alta
4216057,Área de SC e PR,Subárea de Florianópolis
4309803,Área Oeste do RS,Subárea de Cruz Alta
4212106,Área de SC e PR,Subárea de Florianópolis
4316303,Área Oeste do RS,Subárea de Santiago
4219150,Área de SC e PR,Subárea de Florianópolis
4128807,Área de SC e PR,Subárea de Cascavel
4121406,Área de SC e PR,Subárea de Cascavel
4311981,Área Leste do RS,Subárea de Pelotas
4117255,Área de SC e PR,Subárea de Cascavel
4215703,Área de SC e PR,Subárea de Florianópolis
4314027,Área Oeste do RS,Subárea de Santa Maria
4116109,Área de SC e PR,Subárea de Cascavel
4119707,Área de SC e PR,Subárea de Cascavel
4102307,Área de SC e PR,Subárea de Curitiba
4310876,Área Oeste do RS,Subárea de Santa Maria
4125001,Área de SC e PR,Subárea de Cascavel
4219200,Área de SC e PR,Subárea de Florianópolis
4300901,Área Oeste do RS,Subárea de Cruz Alta
4112959,Área de SC e PR,Subárea de Cascavel
4119806,Área de SC e PR,Subárea de Cascavel
4206108,Área de SC e PR,Subárea de Florianópolis
4209409,Área de SC e PR,Subárea de Florianópolis
4321402,Área Oeste do RS,Subárea de Santiago
4205308,Área de SC e PR,Subárea de Florianópolis
4123709,Área de SC e PR,Subárea de Cascavel
4208500,Área de SC e PR,Subárea de Florianópolis
4322525,Área Oeste do RS,Subárea de Santa Maria
4202875,Área de SC e PR,Subárea de Florianópolis
4118105,Área de SC e PR,Subárea de Cascavel
4103354,Área de SC e PR,Subárea de Cascavel
4318606,Área Leste do RS,Subárea de Pelotas
4210852,Área de SC e PR,Subárea de Florianópolis
4311700,Área Oeste do RS,Subárea de Cruz Alta
4322533,Área Oeste do RS,Subárea de Santa Maria
4305173,Área Leste do RS,Subárea de Pelotas
4218103,Área de SC e PR,Subárea de Florianópolis
4113403,Área de SC e PR,Subárea de Ponta Grossa
4208807,Área de SC e PR,Subárea de Florianópolis
4309050,Área Leste do RS,Subárea de Pelotas
4200606,Área de SC e PR,Subárea de Florianópolis
4206405,Área de SC e PR,Subárea de Florianópolis
4300661,Área Leste do RS,Subárea de Pelotas
4212007,Área de SC e PR,Subárea de Florianópolis
4112207,Área de SC e PR,Subárea de Cascavel
4300208,Área Oeste do RS,Subárea de Cruz Alta
4103479,Área de SC e PR,Subárea de Cascavel
4103305,Área de SC e PR,Subárea de Cascavel
4114203,Área de SC e PR,Subárea de Cascavel
4110953,Área de SC e PR,Subárea de Cascavel
4207809,Área de SC e PR,Subárea de Florianópolis
4300505,Área Oeste do RS,Subárea de Cruz Alta
4115804,Área de SC e PR,Subárea de Cascavel
4110078,Área de SC e PR,Subárea de Ponta Grossa
4124400,Área de SC e PR,Subárea de Cascavel
4301206,Área Oeste do RS,Subárea de Santa Maria
4128559,Área de SC e PR,Subárea de Cascavel
4107546,Área de SC e PR,Subárea de Cascavel
4313102,Área Oeste do RS,Subárea de Santa Maria
4124020,Área de SC e PR,Subárea de Cascavel
4116059,Área de SC e PR,Subárea de Cascavel
4312104,Área Oeste do RS,Subárea de Santa Maria
4300307,Área Oeste do RS,Subárea de Santiago
4123808,Área de SC e PR,Subárea de Cascavel
4322707,Área Oeste do RS,Subárea de Santa Maria
4214409,Área de SC e PR,Subárea de Ponta Grossa
4121109,Área de SC e PR,Subárea de Cascavel
4111258,Área de SC e PR,Subárea de Curitiba
4120655,Área de SC e PR,Subárea de Cascavel
4108320,Área de SC e PR,Subárea de Cascavel
4125803,Área de SC e PR,Subárea de Cascavel
4103206,Área de SC e PR,Subárea de Cascavel
4127205,Área de SC e PR,Subárea de Cascavel
4309951,Área Oeste do RS,Subárea de Santa Maria
4314068,Área Oeste do RS,Subárea de Santa Maria
4112900,Área de SC e PR,Subárea de Ponta Grossa
4217501,Área de SC e PR,Subárea de Florianópolis
4322301,Área Oeste do RS,Subárea de Santiago
4123006,Área de SC e PR,Subárea de Cascavel
4201406,Área de SC e PR,Subárea de Florianópolis
4128609,Área de SC e PR,Subárea de Cascavel
4212700,Área de SC e PR,Subárea de Florianópolis
4210209,Área de SC e PR,Subárea de Florianópolis
4108700,Área de SC e PR,Subárea de Cascavel
4218707,Área de SC e PR,Subárea de Florianópolis
4128708,Área de SC e PR,Subárea de Cascavel
4125308,Área de SC e PR,Subárea de Cascavel
4214904,Área de SC e PR,Subárea de Florianópolis
4127957,Área de SC e PR,Subárea de Cascavel
4106852,Área de SC e PR,Subárea de Cascavel
4309902,Área Leste do RS,Subárea de Pelotas
4315404,Área Oeste do RS,Subárea de Santiago
4107157,Área de SC e PR,Subárea de Cascavel
4316006,Área Leste do RS,Subárea de Pelotas
4125753,Área de SC e PR,Subárea de Cascavel
4320206,Área Oeste do RS,Subárea de Cruz Alta
4309407,Área Leste do RS,Subárea de Pelotas
4304713,Área Leste do RS,Subárea de Pelotas
4104105,Área de SC e PR,Subárea de Ponta Grossa
4103008,Área de SC e PR,Subárea de Cascavel
4211603,Área de SC e PR,Subárea de Florianópolis
4315958,Área Oeste do RS,Subárea de Santiago
4219176,Área de SC e PR,Subárea de Florianópolis
4313201,Área Leste do RS,Subárea de Pelotas
4314555,Área Oeste do RS,Subárea de Santiago
4202701,Área de SC e PR,Subárea de Florianópolis
4124509,Área de SC e PR,Subárea de Cascavel
4106209,Área de SC e PR,Subárea de Curitiba
4214003,Área de SC e PR,Subárea de Florianópolis
4101002,Área de SC e PR,Subárea de Cascavel
4300059,Área Oeste do RS,Subárea de Cruz Alta
4322806,Área Leste do RS,Subárea de Pelotas
4124905,Área de SC e PR,Subárea de Cascavel
4309506,Área Oeste do RS,Subárea de Santiago
4219705,Área de SC e PR,Subárea de Florianópolis
4209805,Área de SC e PR,Subárea de Florianópolis
4320354,Área Leste do RS,Subárea de Pelotas
4212056,Área de SC e PR,Subárea de Florianópolis
4213807,Área de SC e PR,Subárea de Florianópolis
4305603,Área Oeste do RS,Subárea de Cruz Alta
4109807,Área de SC e PR,Subárea de Cascavel
4308904,Área Oeste do RS,Subárea de Cruz Alta
4214300,Área de SC e PR,Subárea de Florianópolis
4208203,Área de SC e PR,Subárea de Florianópolis
4117453,Área de SC e PR,Subárea de Cascavel
4204905,Área de SC e PR,Subárea de Florianópolis
4307815,Área Oeste do RS,Subárea de Santa Maria
4307203,Área Oeste do RS,Subárea de Cruz Alta
4114104,Área de SC e PR,Subárea de Cascavel
4215059,Área de SC e PR,Subárea de Florianópolis
4315107,Área Oeste do RS,Subárea de Santiago
4103370,Área de SC e PR,Subárea de Cascavel
4202909,Área de SC e PR,Subárea de Florianópolis
4208401,Área de SC e PR,Subárea de Florianópolis
4107553,Área de SC e PR,Subárea de Cascavel
4120002,Área de SC e PR,Subárea de Cascavel
4112801,Área de SC e PR,Subárea de Ponta Grossa
4218004,Área de SC e PR,Subárea de Florianópolis
4216701,Área de SC e PR,Subárea de Florianópolis
4214201,Área de SC e PR,Subárea de Florianópolis
4302105,Área Leste do RS,Subárea de Pelotas
4305850,Área Oeste do RS,Subárea de Cruz Alta
4303806,Área Oeste do RS,Subárea de Cruz Alta
4308201,Área Leste do RS,Subárea de Pelotas
4115358,Área de SC e PR,Subárea de Cascavel
4305504,Área Oeste do RS,Subárea de Cruz Alta
4301404,Área Oeste do RS,Subárea de Santa Maria
4304903,Área Oeste do RS,Subárea de Cruz Alta
4117008,Área de SC e PR,Subárea de Ponta Grossa
4209607,Área de SC e PR,Subárea de Florianópolis
4104600,Área de SC e PR,Subárea de Cascavel
4314076,Área Oeste do RS,Subárea de Santa Maria
4302451,Área Oeste do RS,Subárea de Santa Maria
4104253,Área de SC e PR,Subárea de Curitiba
4126603,Área de SC e PR,Subárea de Ponta Grossa
4315313,Área Oeste do RS,Subárea de Cruz Alta
4321907,Área Oeste do RS,Subárea de Santiago
4321956,Área Oeste do RS,Subárea de Cruz Alta
4322905,Área Oeste do RS,Subárea de Cruz Alta
4108205,Área de SC e PR,Subárea de Cascavel
4123402,Área de SC e PR,Subárea de Cascavel
4300471,Área Oeste do RS,Subárea de Cruz Alta
4206504,Área de SC e PR,Subárea de Florianópolis
4103453,Área de SC e PR,Subárea de Cascavel
4217600,Área de SC e PR,Subárea de Florianópolis
4308508,Área Oeste do RS,Subárea de Cruz Alta
4322327,Área Leste do RS,Subárea de Pelotas
4303301,Área Oeste do RS,Subárea de Santiago
4313300,Área Leste do RS,Subárea de Pelotas
4323754,Área Oeste do RS,Subárea de Santiago
4211256,Área de SC e PR,Subárea de Florianópolis
4301701,Área Oeste do RS,Subárea de Cruz Alta
4117107,Área de SC e PR,Subárea de Cascavel
4315156,Área Oeste do RS,Subárea de Santa Maria
4319000,Área Leste do RS,Subárea de Pelotas
4214805,Área de SC e PR,Subárea de Florianópolis
4320552,Área Leste do RS,Subárea de Pelotas
4207684,Área de SC e PR,Subárea de Florianópolis
4304408,Área Leste do RS,Subárea de Pelotas
4210050,Área de SC e PR,Subárea de Ponta Grossa
4210001,Área de SC e PR,Subárea de Florianópolis
4219002,Área de SC e PR,Subárea de Florianópolis
4321667,Área Leste do RS,Subárea de Pelotas
4306734,Área Oeste do RS,Subárea de Santiago
4313334,Área Oeste do RS,Subárea de Cruz Alta
4124053,Área de SC e PR,Subárea de Cascavel
4312450,Área Leste do RS,Subárea de Pelotas
4316204,Área Oeste do RS,Subárea de Cruz Alta
4119103,Área de SC e PR,Subárea de Ponta Grossa
4315008,Área Oeste do RS,Subárea de Santiago
4103057,Área de SC e PR,Subárea de Cascavel
4305454,Área Leste do RS,Subárea de Pelotas
4207106,Área de SC e PR,Subárea de Florianópolis
4123956,Área de SC e PR,Subárea de Cascavel
4111209,Área de SC e PR,Subárea de Cascavel
4320263,Área Oeste do RS,Subárea de Santa Maria
4106704,Área de SC e PR,Subárea de Cascavel
4214607,Área de SC e PR,Subárea de Florianópolis
4304309,Área Oeste do RS,Subárea de Santiago
4207700,Área de SC e PR,Subárea de Florianópolis
4300703,Área Oeste do RS,Subárea de Santa Maria
4206900,Área de SC e PR,Subárea de Florianópolis
4208450,Área de SC e PR,Subárea de Florianópolis
4311601,Área Oeste do RS,Subárea de Cruz Alta
4203907,Área de SC e PR,Subárea de Florianópolis
4315750,Área Leste do RS,Subárea de Pelotas
4124004,Área de SC e PR,Subárea de Ponta Grossa
4309100,Área Leste do RS,Subárea de Pelotas
4125902,Área de SC e PR,Subárea de Cascavel
4307054,Área Oeste do RS,Subárea de Cruz Alta
4209003,Área de SC e PR,Subárea de Florianópolis
4112751,Área de SC e PR,Subárea de Cascavel
4108957,Área de SC e PR,Subárea de Ponta Grossa
4323200,Área Oeste do RS,Subárea de Cruz Alta
4312138,Área Oeste do RS,Subárea de Cruz Alta
4320909,Área Oeste do RS,Subárea de Cruz Alta
4204608,Área de SC e PR,Subárea de Florianópolis
4218806,Área de SC e PR,Subárea de Florianópolis
4128658,Área de SC e PR,Subárea de Cascavel
4108007,Área de SC e PR,Subárea de Cascavel
4304952,Área Leste do RS,Subárea de Pelotas
4111100,Área de SC e PR,Subárea de Cascavel
4107850,Área de SC e PR,Subárea de Cascavel
4200051,Área de SC e PR,Subárea de Florianópolis
4321477,Área Oeste do RS,Subárea de Santiago
4121356,Área de SC e PR,Subárea de Cascavel
4315552,Área Oeste do RS,Subárea de Cruz Alta
4304804,Área Leste do RS,Subárea de Pelotas
4102802,Área de SC e PR,Subárea de Cascavel
4107108,Área de SC e PR,Subárea de Cascavel
4201208,Área de SC e PR,Subárea de Florianópolis
4118907,Área de SC e PR,Subárea de Cascavel
4204400,Área de SC e PR,Subárea de Florianópolis
4101853,Área de SC e PR,Subárea de Cascavel
4121257,Área de SC e PR,Subárea de Cascavel
4217204,Área de SC e PR,Subárea de Florianópolis
4113601,Área de SC e PR,Subárea de Cascavel
4207007,Área de SC e PR,Subárea de Florianópolis
4108452,Área de SC e PR,Subárea de Cascavel
4200804,Área de SC e PR,Subárea de Florianópolis
4314704,Área Oeste do RS,Subárea de Cruz Alta
4128401,Área de SC e PR,Subárea de Ponta Grossa
4304101,Área Oeste do RS,Subárea de Santa Maria
4311908,Área Oeste do RS,Subárea de Cruz Alta
4309605,Área Oeste do RS,Subárea de Santiago
4313409,Área Leste do RS,Subárea de Pelotas
4115309,Área de SC e PR,Subárea de Cascavel
4101101,Área de SC e PR,Subárea de Ponta Grossa
4305447,Área Leste do RS,Subárea de Pelotas
4107702,Área de SC e PR,Subárea de Cascavel
4303707,Área Oeste do RS,Subárea de Santiago
4315354,Área Oeste do RS,Subárea de Santa Maria
4306429,Área Oeste do RS,Subárea de Cruz Alta
4217105,Área de SC e PR,Subárea de Florianópolis
4214102,Área de SC e PR,Subárea de Florianópolis
4319307,Área Oeste do RS,Subárea de Santiago
4316436,Área Oeste do RS,Subárea de Cruz Alta
4120358,Área de SC e PR,Subárea de Cascavel
4119509,Área de SC e PR,Subárea de Curitiba
4313375,Área Leste do RS,Subárea de Pelotas
4115002,Área de SC e PR,Subárea de Cascavel
4304002,Área Oeste do RS,Subárea de Santiago
4305355,Área Leste do RS,Subárea de Pelotas
4322152,Área Oeste do RS,Subárea de Santa Maria
4309159,Área Oeste do RS,Subárea de Santa Maria
4100103,Área de SC e PR,Subárea de Ponta Grossa
4126009,Área de SC e PR,Subárea de Ponta Grossa
4321832,Área Leste do RS,Subárea de Pelotas
4215208,Área de SC e PR,Subárea de Florianópolis
4313425,Área Oeste do RS,Subárea de Santiago
4306353,Área Oeste do RS,Subárea de Santiago
4124608,Área de SC e PR,Subárea de Cascavel
4206702,Área de SC e PR,Subárea de Florianópolis
4204707,Área de SC e PR,Subárea de Florianópolis
4219606,Área de SC e PR,Subárea de Florianópolis
4119202,Área de SC e PR,Subárea de Ponta Grossa
4115903,Área de SC e PR,Subárea de Cascavel
4305439,Área Leste do RS,Subárea de Pelotas
4114351,Área de SC e PR,Subárea de Cascavel
4312906,Área Leste do RS,Subárea de Pelotas
4202800,Área de SC e PR,Subárea de Florianópolis
4213203,Área de SC e PR,Subárea de Florianópolis
4211801,Área de SC e PR,Subárea de Florianópolis
4310702,Área Oeste do RS,Subárea de Cruz Alta
4101655,Área de SC e PR,Subárea de Cascavel
4203204,Área de SC e PR,Subárea de Florianópolis
4315800,Área Oeste do RS,Subárea de Santa Maria
4126108,Área de SC e PR,Subárea de Cascavel
4124202,Área de SC e PR,Subárea de Cascavel
4120309,Área de SC e PR,Subárea de Ponta Grossa
4310652,Área Leste do RS,Subárea de Pelotas
4120200,Área de SC e PR,Subárea de Cascavel
4312203,Área Oeste do RS,Subárea de Cruz Alta
4204152,Área de SC e PR,Subárea de Florianópolis
4315206,Área Oeste do RS,Subárea de Santa Maria
4200200,Área de SC e PR,Subárea de Florianópolis
4205209,Área de SC e PR,Subárea de Florianópolis
4321493,Área Oeste do RS,Subárea de Santa Maria
4201901,Área de SC e PR,Subárea de Florianópolis
4206652,Área de SC e PR,Subárea de Florianópolis
4217303,Área de SC e PR,Subárea de Florianópolis
4116950,Área de SC e PR,Subárea de Cascavel
4303202,Área Leste do RS,Subárea de Pelotas
4317756,Área Oeste do RS,Subárea de Cruz Alta
4308706,Área Oeste do RS,Subárea de Cruz Alta
4113007,Área de SC e PR,Subárea de Cascavel
4109203,Área de SC e PR,Subárea de Cascavel
4305801,Área Oeste do RS,Subárea de Cruz Alta
4215604,Área de SC e PR,Subárea de Florianópolis
4119004,Área de SC e PR,Subárea de Cascavel
4302584,Área Oeste do RS,Subárea de Cruz Alta
4115507,Área de SC e PR,Subárea de Cascavel
4211009,Área de SC e PR,Subárea de Florianópolis
4316733,Área Oeste do RS,Subárea de Cruz Alta
4111001,Área de SC e PR,Subárea de Ponta Grossa
4216305,Área de SC e PR,Subárea de Florianópolis
4117222,Área de SC e PR,Subárea de Cascavel
4305371,Área Oeste do RS,Subárea de Cruz Alta
4207650,Área de SC e PR,Subárea de Florianópolis
4106100,Área de SC e PR,Subárea de Ponta Grossa
4309753,Área Oeste do RS,Subárea de Santa Maria
4119954,Área de SC e PR,Subárea de Curitiba
